sale_id,purchase_date,motorcycle_name,motorcycle_group,dealer_origin,price,qty,total
1,2023/12/25,riorio,matic,bogor,20000000,3,20000000
3,2023/12/20,riorio,matic,bogor,20000000,2,40000000
4,2023/11/15,bitbit,matic,denpasar,17000000,4,68000000
5,2023/12/11,bitbit,matic,bogor,17000000,4,34000000
7,2023/11/07,vovo,cub,denpasar,15000000,10,15000000
8,2023/12/16,riorio,matic,denpasar,20000000,2,40000000
9,2023/11/29,deva,matic,bogor,34000000,5,68000000
10,2023/11/24,bitbit,matic,denpasar,17000000,10,68000000
11,2023/11/17,riorio,matic,jakarta,20000000,6,40000000
12,2023/11/06,bitbit,matic,jakarta,17000000,5,85000000
13,2023/11/10,deva,matic,bogor,34000000,8,68000000
14,2023/12/05,bitbit,matic,jakarta,17000000,6,51000000
16,2023/12/09,bitbit,matic,denpasar,17000000,2,85000000
17,2023/11/29,pax,matic,denpasar,33000000,10,66000000
19,2023/12/09,vovo,cub,denpasar,15000000,8,30000000
21,2023/12/07,riorio,matic,denpasar,20000000,3,80000000
23,2023/12/29,vovo,cub,denpasar,15000000,7,90000000
25,2023/11/20,bitbit,matic,bandung,17000000,4,85000000
28,2023/12/07,riorio,matic,bandung,20000000,4,40000000
29,2023/12/05,bitbit,matic,jakarta,17000000,5,68000000
32,2023/12/19,bitbit,matic,bandung,17000000,4,85000000
34,2023/11/06,riorio,matic,palembang,20000000,3,60000000
36,2023/11/02,bitbit,matic,denpasar,17000000,8,68000000
38,2023/12/13,bitbit,matic,bogor,17000000,4,34000000
39,2023/12/08,riorio,matic,bogor,20000000,5,60000000
40,2023/12/22,bitbit,matic,bogor,17000000,5,68000000
41,2023/11/23,bitbit,matic,jakarta,17000000,9,34000000
43,2023/11/17,bitbit,matic,denpasar,17000000,3,85000000
45,2023/11/28,bitbit,matic,bogor,17000000,2,85000000
47,2023/11/13,bitbit,matic,denpasar,17000000,5,51000000
50,2023/11/11,riorio,matic,denpasar,20000000,10,40000000
53,2023/12/13,riorio,matic,jakarta,20000000,1,80000000
54,2023/12/22,bitbit,matic,denpasar,17000000,4,68000000
55,2023/12/03,bitbit,matic,bandung,17000000,4,85000000
56,2023/11/22,bitbit,matic,bandung,17000000,6,85000000
57,2023/12/01,deva,matic,bandung,34000000,10,34000000
58,2023/12/12,bitbit,matic,denpasar,17000000,4,34000000
61,2023/11/05,riorio,matic,bandung,20000000,9,20000000
63,2023/11/17,bitbit,matic,bandung,17000000,2,68000000
64,2023/11/28,riorio,matic,denpasar,20000000,4,80000000
68,2023/11/18,bitbit,matic,denpasar,17000000,8,34000000
71,2023/11/08,bitbit,matic,bandung,17000000,5,85000000
72,2023/11/12,deva,matic,jakarta,34000000,9,34000000
73,2023/12/29,riorio,matic,bogor,20000000,3,80000000
74,2023/12/02,deva,matic,denpasar,34000000,5,34000000
76,2023/12/15,bitbit,matic,bogor,17000000,11,51000000
78,2023/12/21,pax,matic,denpasar,33000000,4,66000000
79,2023/11/09,deva,matic,jakarta,34000000,3,34000000
81,2023/12/04,riorio,matic,denpasar,20000000,10,40000000
83,2023/12/03,bitbit,matic,bogor,17000000,1,51000000
84,2023/12/03,riorio,matic,bogor,20000000,10,80000000
88,2023/12/30,bitbit,matic,bandung,17000000,2,34000000
90,2023/12/21,deva,matic,denpasar,34000000,5,68000000
